Feature,Importance
PC1,0.025923709152499034
PC2,0.1822733969428617
PC3,0.11127409075312192
PC4,0.04219019096249246
PC5,0.033945371736575664
PC6,0.023815339686047512
PC7,0.01484725774242609
PC8,0.018170243585285295
PC9,0.036397561037961414
PC10,0.03597626901390006
PRS_Genomic,0.015604237348019863
Metabolite_PC1,0.33095067754611457
Metabolite_PC2,0.012937036398816423
Metabolite_PC3,0.016200846122980003
Metabolite_PC4,0.013459845757091995
Metabolite_PC5,0.018276104177086656
Metabolite_PC6,0.015647886063084055
Metabolite_PC7,0.013542860816329922
Metabolite_PC8,0.0137071462397213
Metabolite_PC9,0.012332702469749544
Metabolite_PC10,0.012527226447834534
